577,Rosewood Heights,cdp,38.8878,-90.0732
578,Crainville,village,37.7538,-89.0591
579,Rushville,city,40.1200,-90.5665
580,North Riverside,village,41.8461,-87.8263
581,Lacon,city,41.0229,-89.4063
582,Rapids City,village,41.5786,-90.3398
583,Christopher,city,37.9710,-89.0530
584,Georgetown,city,39.9774,-87.6354
585,West City,village,37.9960,-88.9489
586,Bureau Junction,village,41.2894,-89.3645
587,Aviston,village,38.6260,-89.6134
588,Bluford,village,38.3261,-88.7348
589,Holiday Shores,cdp,38.9271,-89.9389
590,Oakdale,village,38.2648,-89.5035
591,South Chicago Heights,village,41.4834,-87.6372
592,Momence,city,41.1636,-87.6635
593,Seaton,village,41.1023,-90.7991
594,Rock Island Arsenal,cdp,41.5170,-90.5397
595,Petersburg,city,40.0143,-89.8453
596,Mount Morris,village,42.0483,-89.4293
597,West Salem,village,38.5201,-88.0093
598,Taylor Ridge,cdp,41.3892,-90.6705
599,Williamsville,village,39.9561,-89.5436
600,Mount Clare,village,39.0973,-89.8337
